"Site_Code","Site_Name","Category","Area","Long","Lat"
"P0094","Lipton Street Reserve","Local Park",4525.09,144.786663,-37.711294
"P0104","Nickson Gardens","Neighbourhood Park",21333.92,144.805101,-37.762237
"P0110","Odessa Avenue Reserve","Neighbourhood Park",15067.45,144.809863,-37.715869
"P0111","Orchid Square Reserve","Neighbourhood Park",13716.53,144.764574,-37.706579
"P0112","Overton Lea Blvd Reserve","Neighbourhood Park",24310.92,144.763627,-37.702849
"P0183","Burnside Park","Local Park",15251.64,144.766458,-37.766527
"P3065","Kororoit Creek (SS Station - Davitt)","Park / Reserve",76400.18,144.770385,-37.766988
"P3050","W.R.R./Currunghi Court Easement","Park / Reserve",54925.23,144.824105,-37.756013
"P3016","SEC Easement - Currunghi Court to Granth","Park / Reserve",25926.65,144.82393,-37.752683
"P3018","Stradbroke Drive Reserve","Neighbourhood Park",98196.28,144.811973,-37.75074
"P3019","SEC Easement  -  Stradbroke Drive to Deb","Park / Reserve",3765.20,144.807824,-37.750815
"P3020","SEC Easement  -  Debenham Drive to Thorn","Park / Reserve",3650.81,144.806868,-37.750707
"P3021","SEC Easement  -  Thorndon Drive to St. A","Park / Reserve",5352.08,144.805505,-37.750603
"P3014","SEC Easement  -  Sunshine Avenue to Ruth","Neighbourhood Park",29450.81,144.805918,-37.709015
"P3015","SEC Easement  -  Rutherglen Way to Wanak","Local Park",19232.93,144.808619,-37.712088
"P3022","Taylors Lakes SEC Easement (Sunshine Ave","Local Park",45193.78,144.801062,-37.705886
"P3071","Taylors Creek Linear Park. Parmelia to S","Flagship Park",198961.17,144.793709,-37.702364
"P3073","Taylors Creek Linear Park. Burrowye to G","Park / Reserve",502096.73,144.817998,-37.711241
"P3025","Booth Way/Kings Road Easement (entrance","Park / Reserve",2236.00,144.779931,-37.704301
"P3026","Calder Park Dr - Chris Ct Easement","Park / Reserve",2409.68,144.755075,-37.698394
"P3027","Chris Court to Hannah Avenue Drainage Ea","Park / Reserve",2006.57,144.754306,-37.699283
"P3033","SEC Easement - Whitesides to Glengala","Neighbourhood Park",15139.18,144.809154,-37.787321
"P3034","Fairbairn Road to Kororoit Creek Drainag","Local Park",124791.32,144.834122,-37.805095
"P3029","SEC Easement - Cawood Drive to The Avenu","Neighbourhood Park",24480.53,144.806671,-37.80049
"P3037","Gresham Way - Drainage Easement The Aven","Local Park",7677.10,144.803816,-37.797488
"P3038","Keilor - Melton Road/Pintail Easement","Local Park",20432.34,144.792592,-37.698934
"P3039","Kings/Sandpiper  - SEC Easement","Local Park",40843.30,144.786034,-37.694314
